,Age,Attrition,BusinessTravel,Department,DistanceFromHome,Education,EducationField,EmployeeID,Gender,JobLevel,JobRole,MaritalStatus,MonthlyIncome,NumCompaniesWorked,PercentSalaryHike,StockOptionLevel,TotalWorkingYears,TrainingTimesLastYear,YearsAtCompany,YearsSinceLastPromotion,YearsWithCurrManager,JobInvolvement,PerformanceRating,EnvironmentSatisfaction,JobSatisfaction,WorkLifeBalance,Total_Working_Days,Avg_Daily_Hours,Median_Daily_Hours,Std_Daily_Hours,Overtime_Days_8.5h,Overtime_Days_10h,Late_Arrival_Rate,Absence_Rate,Very_Early_Start_Rate,Early_Leave_Rate,Friday_Evening_Presence_Rate,Monday_Morning_Presence_Rate,Attrition_Num,Young_Stagnation,Avg_Work_Hours,Work_Intensity,Overtime_Flag,Distance_Bin,Age_Group,LongHours,Is_Young,LowIncome
0,51,No,1,Sales,6,2,Life Sciences,1,Female,1,Healthcare Representative,Married,131160,1.0,11,0,1.0,6,1,0,0,3,3,3.0,4.0,2.0,232,7.373650622605365,7.397222222222222,0.28322436713023424,0,0,0.020080321285140562,0.11646586345381527,0.0,0.020080321285140562,0.0,0.011494252873563218,0,0,7.406964798850575,0.9258705998563219,0,Proche (3-10km),>45,0,0,0
1,31,Yes,2,Research & Development,10,1,Life Sciences,2,Female,1,Research Scientist,Single,41890,0.0,23,1,6.0,3,5,1,4,2,4,3.0,2.0,4.0,236,7.718968926553672,7.71875,0.31335090741272625,2,0,0.040160642570281124,0.10040160642570281,0.0,0.004016064257028112,0.0421455938697318,0.0,1,0,7.373650622605365,0.9217063278256706,0,Proche (3-10km),26-35,0,0,1
2,32,No,2,Research & Development,17,4,Other,3,Male,4,Sales Executive,Married,193280,1.0,15,3,5.0,2,5,0,3,3,3,2.0,2.0,1.0,242,7.013240358126722,6.982638888888889,0.3115511391897782,0,0,0.020080321285140562,0.07630522088353414,0.0,0.10040160642570281,0.0,0.011494252873563218,0,0,7.718968926553672,0.964871115819209,0,Loin (11-20km),26-35,0,0,0
3,38,No,0,Research & Development,2,5,Life Sciences,4,Male,3,Human Resources,Married,83210,3.0,11,3,13.0,5,8,7,5,2,3,4.0,4.0,3.0,235,7.193678486997635,7.179722222222222,0.28413283284487745,0,0,0.012048192771084338,0.10441767068273092,0.0,0.040160642570281124,0.0038314176245210726,0.0038314176245210726,0,0,7.013240358126722,0.8766550447658402,0,Très proche (0-2km),36-45,0,0,0
4,32,No,1,Research & Development,10,1,Medical,5,Male,1,Sales Executive,Single,23420,4.0,12,2,9.0,2,6,0,4,3,3,4.0,1.0,3.0,245,8.006174603174603,7.963611111111111,0.3006564200435072,18,0,0.024096385542168676,0.0642570281124498,0.0,0.0,0.0842911877394636,0.0038314176245210726,0,0,7.193678486997635,0.8992098108747044,0,Proche (3-10km),26-35,0,0,1
5,46,No,1,Research & Development,8,3,Life Sciences,6,Female,4,Research Director,Married,40710,3.0,13,0,28.0,5,7,7,7,3,3,3.0,2.0,2.0,237,10.796095874355368,10.809444444444445,0.3062780195272167,237,234,0.024096385542168676,0.0963855421686747,0.0,0.0,0.18007662835249041,0.011494252873563218,0,0,8.006174603174603,1.0007718253968254,0,Proche (3-10km),>45,0,0,1
6,28,Yes,1,Research & Development,11,2,Medical,7,Male,2,Sales Executive,Single,58130,2.0,20,1,5.0,2,0,0,0,3,4,1.0,3.0,1.0,232,6.923570402298851,6.9087499999999995,0.3246115897328066,0,0,0.0321285140562249,0.11646586345381527,0.0,0.20883534136546184,0.0,0.007662835249042145,1,0,10.796095874355368,1.349511984294421,1,Loin (11-20km),26-35,1,1,0
7,29,No,1,Research & Development,18,3,Life Sciences,8,Male,2,Sales Executive,Married,31430,2.0,22,3,10.0,2,0,0,0,3,4,1.0,2.0,3.0,243,6.725620713305898,6.746111111111111,0.27854805942660005,0,0,0.03614457831325301,0.07228915662650602,0.0,0.2891566265060241,0.0,0.0,0,0,6.923570402298851,0.8654463002873564,0,Loin (11-20km),26-35,0,1,1
8,31,No,1,Research & Development,1,3,Life Sciences,9,Male,3,Laboratory Technician,Married,20440,0.0,21,0,10.0,2,9,7,8,3,4,2.0,4.0,3.0,230,7.236498792270532,7.258333333333333,0.3106995251062113,0,0,0.04417670682730924,0.12449799196787148,0.0,0.028112449799196786,0.0038314176245210726,0.0,0,0,6.725620713305898,0.8407025891632373,0,Très proche (0-2km),26-35,0,0,1
9,25,No,0,Research & Development,7,4,Medical,10,Female,4,Laboratory Technician,Divorced,134640,1.0,13,1,6.0,2,6,1,5,3,3,2.0,1.0,3.0,234,7.080087844254511,7.063611111111111,0.2904905463580699,0,0,0.024096385542168676,0.10843373493975904,0.0,0.08835341365461848,0.0,0.0038314176245210726,0,0,7.236498792270532,0.9045623490338165,0,Proche (3-10km),26-35,0,1,0
