,Friday_Evening_Presence_Rate,Overtime_Days_8.5h,Avg_Daily_Hours,TotalWorkingYears,YearsWithCurrManager,Overtime_Days_10h,YearsAtCompany,Early_Leave_Rate,JobSatisfaction,EnvironmentSatisfaction,JobRole,Department,BusinessTravel,Age_Group,Attrition
0,0.0,0,7.373650622605365,1.0,0,0,1,0.020080321285140562,4.0,3.0,Healthcare Representative,Sales,1,>45,No
1,0.0421455938697318,2,7.718968926553672,6.0,4,0,5,0.004016064257028112,2.0,3.0,Research Scientist,Research & Development,2,26-35,Yes
2,0.0,0,7.013240358126722,5.0,3,0,5,0.10040160642570281,2.0,2.0,Sales Executive,Research & Development,2,26-35,No
3,0.0038314176245210726,0,7.193678486997635,13.0,5,0,8,0.040160642570281124,4.0,4.0,Human Resources,Research & Development,0,36-45,No
4,0.0842911877394636,18,8.006174603174603,9.0,4,0,6,0.0,1.0,4.0,Sales Executive,Research & Development,1,26-35,No
5,0.18007662835249041,237,10.796095874355368,28.0,7,234,7,0.0,2.0,3.0,Research Director,Research & Development,1,>45,No
6,0.0,0,6.923570402298851,5.0,0,0,0,0.20883534136546184,3.0,1.0,Sales Executive,Research & Development,1,26-35,Yes
7,0.0,0,6.725620713305898,10.0,0,0,0,0.2891566265060241,2.0,1.0,Sales Executive,Research & Development,1,26-35,No
8,0.0038314176245210726,0,7.236498792270532,10.0,8,0,9,0.028112449799196786,4.0,2.0,Laboratory Technician,Research & Development,1,26-35,No
9,0.0,0,7.080087844254511,6.0,5,0,6,0.08835341365461848,1.0,2.0,Laboratory Technician,Research & Development,0,26-35,No
10,0.1417624521072797,83,8.403485477178425,21.0,10,0,20,0.0,4.0,3.0,Laboratory Technician,Research & Development,1,>45,No
11,0.0,0,7.06895458736745,16.0,11,0,15,0.07228915662650602,4.0,3.0,Laboratory Technician,Research & Development,1,36-45,No
12,0.1724137931034483,228,9.301409509946627,37.0,13,0,36,0.0,1.0,4.0,Sales Executive,Research & Development,1,>45,No
13,0.17624521072796934,235,9.399931442080378,10.0,9,7,10,0.0,2.0,1.0,Research Scientist,Research & Development,0,>45,Yes
14,0.0,0,6.08968764407561,5.0,4,0,5,0.8313253012048193,4.0,4.0,Manufacturing Director,Research & Development,1,26-35,No
15,0.0,0,6.705174636661979,7.0,1,0,5,0.30120481927710846,4.0,3.0,Healthcare Representative,Research & Development,1,36-45,No
16,0.0,0,6.619040626529614,3.0,0,0,3,0.2971887550200803,3.0,4.0,Laboratory Technician,Research & Development,1,<25,No
17,0.18007662835249041,246,11.014328139114726,15.0,2,246,5,0.0,4.0,1.0,Sales Executive,Research & Development,0,36-45,No
18,0.0,0,6.960253831417625,10.0,2,0,7,0.14859437751004015,2.0,2.0,Sales Representative,Sales,1,36-45,No
19,0.1685823754789272,230,9.293555796055795,8.0,7,1,8,0.0,1.0,1.0,Manager,Research & Development,1,36-45,No
20,0.034482758620689655,0,7.590778256704982,6.0,4,0,6,0.0,2.0,3.0,Laboratory Technician,Research & Development,2,26-35,No
21,0.0,0,6.008613495469718,28.0,6,0,10,0.8393574297188755,2.0,1.0,Research Scientist,Sales,1,>45,No
22,0.13409961685823754,80,8.402108477011494,21.0,3,0,5,0.0,3.0,3.0,Research Scientist,Research & Development,1,>45,No
